Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,52.264999,53.834999,51.880001,53.400002,53.243576,3670000
2020-12-11,52.810001,53.230000,52.000000,53.205002,53.049149,3133600
2020-12-14,53.570000,54.665001,53.570000,53.900002,53.742111,2759600
2020-12-15,54.790001,55.099998,53.990002,55.099998,54.938591,1931800
2020-12-16,55.270000,56.009998,54.895000,55.709999,55.546806,2658600
2020-12-17,56.320000,56.525002,55.865002,56.435001,56.269684,2194200
2020-12-18,56.705002,56.779999,55.215000,56.044998,55.880825,3786600
2020-12-21,55.000000,56.084999,53.955002,55.900002,55.736252,3682600
2020-12-22,56.224998,56.529999,55.139999,56.169998,56.005459,3178800
2020-12-23,56.200001,56.325001,55.560001,55.610001,55.447102,2316400
2020-12-24,55.715000,56.255001,55.700001,56.095001,55.930679,1306200
2020-12-28,57.055000,57.404999,56.395000,57.235001,57.067341,2255400
2020-12-29,57.735001,57.959999,57.000000,57.340000,57.172031,2396600
2020-12-30,57.759998,57.880001,57.095001,57.290001,57.122181,1607400
2020-12-31,57.305000,57.770000,56.904999,57.555000,57.386402,2326000
2021-01-04,58.110001,58.160000,54.480000,55.935001,55.771149,5090000
2021-01-05,55.599998,56.955002,55.584999,56.845001,56.678482,4471400
2021-01-06,55.145000,56.889999,54.740002,55.320000,55.157948,4983000
2021-01-07,56.290001,58.285000,56.290001,58.020000,57.850040,3212200
2021-01-08,58.849998,59.590000,58.020000,59.480000,59.305763,4540600
2021-01-11,58.320000,58.770000,57.480000,57.709999,57.540947,4071400
2021-01-12,57.770000,58.165001,56.564999,57.570000,57.401360,3418600
2021-01-13,57.660000,58.619999,57.439999,58.314999,58.144176,2434200
2021-01-14,58.474998,58.865002,57.529999,57.674999,57.506050,2728200
2021-01-15,57.634998,57.974998,56.355000,56.779999,56.613670,2694600
2021-01-19,57.645000,58.615002,57.250000,58.459999,58.288750,3342600
2021-01-20,59.775002,61.500000,59.665001,61.134998,60.955914,2792200
2021-01-21,61.529999,62.404999,61.139999,62.165001,61.982899,3387600
2021-01-22,61.775002,62.160000,61.500000,61.775002,61.594044,2788400
2021-01-25,63.095001,63.605000,60.250000,62.869999,62.685833,7134200
2021-01-26,63.080002,63.410000,62.455002,62.959999,62.775570,4666600
2021-01-27,62.060001,62.064999,58.674999,59.570000,59.395500,6065400
2021-01-28,59.889999,62.035000,59.685001,60.165001,59.988758,4635600
2021-01-29,59.480000,59.910000,56.935001,57.685001,57.516022,5643600
2021-02-01,58.939999,60.865002,58.215000,60.520000,60.342716,4548200
2021-02-02,61.650002,62.900002,61.575001,62.505001,62.321903,3495800
2021-02-03,63.250000,63.410000,61.945000,61.965000,61.783485,3770200
2021-02-04,62.535000,63.450001,61.990002,63.445000,63.259148,2412200
2021-02-05,63.825001,64.250000,63.165001,63.889999,63.702843,3716600
2021-02-08,64.529999,64.760002,63.895000,64.690002,64.500504,2524600
2021-02-09,64.334999,65.175003,64.334999,64.669998,64.480560,1746200
2021-02-10,65.214996,65.400002,63.105000,64.355003,64.166489,2629400
2021-02-11,65.000000,65.235001,64.129997,65.070000,64.879387,2151000
2021-02-12,64.754997,65.864998,64.330002,65.790001,65.597282,1690800
2021-02-16,66.110001,66.480003,64.974998,65.449997,65.258270,2309400
2021-02-17,64.245003,64.915001,63.340000,64.815002,64.625137,3145800
2021-02-18,63.369999,64.514999,62.654999,64.224998,64.036865,2665200
2021-02-19,64.775002,64.809998,63.294998,63.685001,63.498447,2244800
2021-02-22,61.930000,62.435001,60.320000,60.384998,60.208111,4364400
2021-02-23,58.320000,60.654999,56.105000,60.009998,59.834209,8701600
2021-02-24,58.980000,61.125000,57.945000,60.990002,60.811340,4828600
2021-02-25,59.939999,60.945000,56.139999,56.669998,56.503994,8148400
2021-02-26,57.825001,59.009998,56.044998,57.270000,57.102238,9623200
2021-03-01,59.115002,60.775002,58.590000,60.654999,60.477322,4464000
